Name	Aura	Caster Level	Slot	Price	Weight	Description	Construction
Amulet of Proof Against Detection and Location	moderate abjuration	8th	neck	35,000 gp	-	This silver amulet protects the wearer from scrying and magical location just as a nondetection spell does. If a divination spell is attempted against the wearer, the caster of the divination must succeed on a caster level check (1d20 + caster level) against a DC of 19 (as if the wearer had cast nondetection on herself ).	Craft Wondrous Item, nondetection; Cost 17,500 gp
Apparatus of the Crab	strong evocation and transmutation	19th	none	90,000 gp	500 lbs	At first glance, an inactive apparatus of the crab appears to be a large, sealed iron barrel big enough to hold two Medium creatures. Close examination, and a DC 20 Perception check, reveals a secret catch that opens a hatch at one end. Anyone who crawls inside finds 10 (unlabeled) levers and seating for two Medium or Small occupants. These levers allow those inside to activate and control the apparatus's movements and actions.  Lever (1d10)        Lever Function 1        Extend/retract legs and tail 2        Uncover/cover forward porthole 3        Uncover/cover side portholes 4        Extend/retract pincers and feelers 5        Snap pincers 6        Move forward/backward 7        Turn left/right 8        Open/close “eyes” with continual flame inside 9        Rise/sink in water 10        Open/close hatch Operating a lever is a full-round action, and no lever may be operated more than once per round. However, since two characters can fit inside, the apparatus can move and attack in the same round. The device can function in water up to 900 feet deep. It holds enough air for a crew of two to survive 1d4+1 hours (twice as long for a single occupant). When activated, the apparatus looks something like a giant lobster.  When active, an apparatus of the crab has the following characteristics: hp 200; hardness 15; Spd 20 ft., swim 20 ft.; AC 20 (–1 size, +11 natural); Attack 2 pincers +12 melee (2d8); CMB +14; CMD 24.	Craft Wondrous Item, animate objects, continual flame, creator must have 8 ranks in Knowledge (engineering); Cost 45,000 gp
Bag of Holding	moderate conjuration	9th	none	-	-	This appears to be a common cloth sack about 2 feet by 4 feet in size. The bag of holding opens into a nondimensional space: its inside is larger than its outside dimensions. Regardless of what is put into the bag, it weighs a fixed amount. This weight, and the limits in weight and volume of the bag's contents, depend on the bag's type, as shown on the table below.  Bag          Bag Weight        Contents Limit        Contents Volume Limit        Market Price Type I       15 lbs.                250 lbs.                 30 cubic ft.                         2,500 gp Type II       25 lbs.               500 lbs.                 70 cubic ft.                         5,000 gp Type III      35 lbs.               1,000 lbs.              150 cubic ft.                        7,400 gp Type IV     60 lbs.               1,500 lbs.               250 cubic ft.                       10,000 gp If a bag of holding is overloaded, or if sharp objects pierce it (from inside or outside), the bag immediately ruptures and is ruined, and all contents are lost forever. If a bag of holding is turned inside out, all of its contents spill out, unharmed, but the bag must be put right before it can be used again. If living creatures are placed within the bag, they can survive for up to 10 minutes, after which time they suffocate. Retrieving a specific item from a bag of holding is a move action, unless the bag contains more than an ordinary backpack would hold, in which case retrieving a specific item is a full-round action. Magic items placed inside the bag do not offer any benefit to the character carrying the bag.  If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in the space: bag and hole alike are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane: the hole, the bag, and any creatures within a 10-foot radius are drawn there, destroying the portable hole and bag of holding in the process.	Craft Wondrous Item, secret chest; Cost 1,250 gp (type I), 2,500 gp (type II), 3,700 gp (type III), 5,000 gp (type IV)
Bag of Tricks	faint (gray or rust) or moderate (tan) conjuration	3rd (gray), 5th (rust), 9th (tan)	-	3,400 gp (gray); 8,500 gp (rust); 16,000 gp (tan)	-	This small sack appears empty. Anyone reaching into the bag feels a small, fuzzy ball. If the ball is removed and tossed up to 20 feet away, it turns into an animal. The animal serves the character who drew it from the bag for 10 minutes (or until slain or ordered back into the bag), at which point it disappears. It can follow any of the commands described in the Handle Animal skill. Each of the three kinds of bags of tricks produces a different set of animals. Use the following tables to determine what animals can be drawn out of each.  Gray Bag        Rust Bag        Tan Bag d%        Animal        d%        Animal        d%        Animal 01–30        Bat        01–30        Wolverine        01–30        Grizzly bear 31–60        Rat        31–60        Wolf        31–60        Lion 61–75        Cat        61–85        Boar        61–80        Heavy horse 76–90        Weasel        86–100        Leopard        81–90        Tiger 91–100        Riding dog        —        91–100        Rhinoceros The heavy horse appears with harness and tack and accepts the character who drew it from the bag as a rider.  Animals produced are always random, and only one may exist at a time. Up to 10 animals can be drawn from the bag each week, but no more than two per day.	Craft Wondrous Item, summon nature's ally II (gray), summon nature's ally III (rust), or summon nature's ally V (tan); Cost 1,700 gp (gray); 4,250 gp (rust); 8,000 gp (tan)
Bead of Force	moderate evocation	10th	-	3,000 gp	-	This small black sphere appears to be a lusterless pearl. A bead of force can be thrown up to 60 feet with no range penalties. Upon sharp impact, the bead explodes, sending forth a burst that deals 5d6 points of force damage to all creatures within a 10-foot radius.  Once thrown, a bead of force functions like a resilient sphere spell (Reflex DC 16 negates) with a radius of 10 feet and a duration of 10 minutes. A globe of shimmering force encloses a creature, provided the latter is small enough to fit within the diameter of the sphere. The sphere contains its subject for the spell's duration. The sphere is not subject to damage of any sort except from a rod of cancellation, a rod of negation, disintegrate, or a targeted dispel magic spell. These effects destroy the sphere without harm to the subject. Nothing can pass through the sphere, inside or out, though the subject can breathe normally. The subject may struggle, but the globe cannot be physically moved either by people outside it or by the struggles of those within. The explosion completely consumes the bead, making this a one-use item.	Craft Wondrous Item, resilient sphere; Cost 1,500 gp
Belt of Dwarvenkind	strong divination	12th	belt	14,900 gp	1 lb	This belt gives the wearer a +4 competence bonus on Charisma checks and Charisma-based skill checks as they relate to dealing with dwarves, a +2 competence bonus on similar checks when dealing with gnomes and halflings, and a –2 competence penalty on similar checks when dealing with anyone else. The wearer can understand, speak, and read Dwarven. If the wearer is not a dwarf, he gains 60-foot darkvision, dwarven stonecunning, a +2 enhancement bonus to Constitution, and a +2 resistance bonus on saves against poison, spells, and spell-like effects	Craft Wondrous Item, tongues, creator must be a dwarf; Cost 7,450 gp
Belt of Giant Strength	moderate transmutation	8th	belt	4,000 gp (+2), 16,000 gp (+4), 36,000 gp (+6)	1 lb	This belt is a thick leather affair, often decorated with huge metal buckles. The belt grants the wearer an enhancement bonus to Strength of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the belt is worn.	Craft Wondrous Item, bull's strength; Cost 2,000 gp (+2), 8,000 gp (+4), 18,000 gp (+6)
Belt of Incredible Dexterity	moderate transmutation	8th	belt	4,000 gp (+2), 16,000 gp (+4), 36,000 gp (+6)	1 lb	This belt has a large silver buckle, usually depicting the image of a tiger. The belt grants the wearer an enhancement bonus to Dexterity of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the belt is worn	Craft Wondrous Item, cat's grace; Cost 2,000 gp (+2), 8,000 gp (+4), 18,000 gp (+6)
Belt of Physical Might	strong transmutation	12th	belt	10,000 gp (+2), 40,000 gp (+4), 90,000 gp (+6)	1 lb	This belt has a large steel buckle, usually depicting the image of a giant. The belt grants the wearer an enhancement bonus to two physical ability scores (Strength, Dexterity, or Constitution) of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the belt is worn. These bonuses are chosen when the belt is created and cannot be changed	Craft Wondrous Item, bear's endurance; Cost 2,000 gp (+2), 8,000 gp (+4), 18,000 gp (+6)
Belt of Physical Perfection	strong transmutation	16th	belt	16,000 gp (+2), 64,000 gp (+4), 144,000 gp (+6)	1 lb	This belt has a large platinum buckle, usually depicting the image of a titan. The belt grants the wearer an enhancement bonus to all physical ability scores (Strength, Dexterity, and Constitution) of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the belt is worn	Craft Wondrous Item, bear's endurance, bull's strength, and/or cat's grace; Cost 5,000 gp (+2), 20,000 gp (+4), 45,000 gp (+6)
Blessed Book	moderate transmutation	7th	-	12,500 gp	1 lb	This well-made tome is always of small size, typically no more than 12 inches tall, 8 inches wide, and 1 inch thick. All such books are durable, waterproof, bound with iron overlaid with silver, and locked.  A wizard can fill the 1,000 pages of a blessed book with spells without paying the material cost. This book is never found as randomly generated treasure with spells already inscribed in it.	Craft Wondrous Item, bear's endurance, bull's strength, cat's grace; Cost 8,000 gp (+2), 32,000 gp (+4), 77,000 gp (+6)
Boat, Folding	moderate transmutation	6th	-	7,200 gp	4 lbs	A folding boat looks like a small wooden box about 12 inches long, 6 inches wide, and 6 inches deep when it is inactive. In this mode, it can be used to store items just like any other box. Yet when the proper command word is given, the box unfolds itself rapidly in the space of a single round to form a boat 10 feet long, 4 feet wide, and 2 feet in depth. A second command word causes it to unfold even further into a ship 24 feet long, 8 feet wide, and 6 feet deep. The folding boat cannot unfold if there isn't enough open space for it to occupy once unfolded. Any objects formerly stored in the box now rest inside the boat or ship.  In its smaller form, the boat has one pair of oars, an anchor, a mast, and a lateen sail. In its larger form, the boat has a deck, single rowing seats, five sets of oars, a rudder, an anchor, a deck cabin, and a mast with a square sail. The boat can hold 4 people comfortably, while the ship carries 15 with ease.  A third word of command causes the boat or ship to fold itself into a box once again, but only when it is unoccupied	Craft Wondrous Item, secret page; Cost 6,250 gp
Boots of Elvenkind	faint transmutation	5th	feet	2,500 gp	1 lb	These soft boots enable the wearer to move nimbly about in virtually any surroundings, granting a +5 competence bonus on Acrobatics checks	Craft Wondrous Item, fabricate, creator must have 2 ranks in the Craft (ships) skill; Cost 3,600 gp
Boots of Levitation	faint transmutation	3rd	feet	7,500 gp	1 lb	These soft leather boots are incredibly light and comfortable, with thin soles reinforced by strips of tough hide that provide an unexpected amount of support and protection to the foot. On command, these boots allow the wearer to levitate as if she had cast levitate on hersel	Craft Wondrous Item, creator must be an elf; Cost 1,250 gp
Boots of Speed	moderate transmutation	10th	feet	12,000 gp	1 lb	As a free action, the wearer can click her heels together, letting her act as though affected by a haste spell for up to 10 rounds each day. The haste effect's duration need not be consecutive rounds.	Craft Wondrous Item, levitate; Cost 3,750 gp
Boots of Striding and Springing	faint transmutation	3rd	feet	5,500 gp	1 lb	These boots increase the wearer's base land speed by 10 feet. In addition to this striding ability (considered an enhancement bonus), these boots allow the wearer to make great leaps. She can jump with a +5 competence bonus on Acrobatics checks	Craft Wondrous Item, haste; Cost 6,000 gp
Boots of teleportation	moderate conjuration	9th	feet	49,000 gp	3 lbs	Any character wearing this footwear may teleport three times per day, exactly as if he had cast the spell of the same name	Craft Wondrous Item, longstrider, creator must have 5 ranks in the Acrobatics skill; Cost 2,750 gp
Boots of the Winterlands	faint abjuration and transmutation	5th	feet	2,500 gp	1 lb	This footgear bestows many powers upon the wearer. First, he is able to travel across snow at his normal speed, leaving no tracks. Second, the boots also enable him to travel at normal speed across the most slippery ice (horizontal surfaces only, not vertical or sharply slanted ones) without falling or slipping. Finally, boots of the winterlands warm the wearer, as if he were affected by an endure elements spell	Craft Wondrous Item, teleport; Cost 24,500 gp
Boots, Winged	moderate transmutation	8th	feet	16,000 gp	1 lb	These boots appear to be ordinary footgear. On command, they sprout wings at the heel and let the wearer fly, without having to maintain concentration, as if affected by a fly spell (including a +4 bonus on Fly skill checks). He can fly three per times day for up to 5 minutes per flight	Craft Wondrous Item, cat's grace, endure elements, pass without trace; Cost 1,250 gp
Bottle of Air	moderate transmutation	7th	-	7,250 gp	2 lbs	This item appears to be a normal glass bottle with a cork. When taken to any airless environment, it retains air within it at all times, continually renewing its contents. This means that a character can draw air out of the bottle to breathe. The bottle can even be shared by multiple characters who pass it around. Breathing out of the bottle is a standard action, but a character so doing can then act for as long as she can hold her breath.	Craft Wondrous Item, fly; Cost 8,000 gp
Bracelet of Friends	strong conjuration	15th	wrists	19,000 gp	-	This silver charm bracelet has four charms upon it when created. The owner may designate one person known to him to be keyed to each charm. (This designation takes a standard action, but once done it lasts forever or until changed.) When a charm is grasped and the name of the keyed individual is spoken, that person is called to the spot (a standard action) along with his gear, as long as the owner and the called person are on the same plane. The keyed individual knows who is calling, and thebracelet of friends only functions on willing travelers. Once a charm is activated, it disappears. Charms separated from the bracelet are worthless. A bracelet found with fewer than four charms is worth 25% less for each missing charm	Craft Wondrous Item, water breathing; Cost 3,625 gp
Bracers of Archery, Greater	moderate transmutation	8th	wrists	25,000 gp	1 lb	These wristbands look like normal protective wear. The bracers empower the wearer to use any bow (not including crossbows) as if she were proficient in its use. If she already has proficiency with any type of bow, she gains a +2 competence bonus on attack rolls and a +1 competence bonus on damage rolls whenever using that type of bow. Both bracers must be worn for the magic to be effective	Craft Wondrous Item, Craft Magic Arms and Armor, crafter must be proficient with a longbow or shortbow; Cost 12,500 gp
Bracers of Archery, Lesser	faint transmutation	4th	wrists	5,000 gp	1 lb	These wristbands function as greater bracers of archery, except that they grant a +1 competence bonus on attack rolls and no bonus on damage rolls.	Craft Wondrous Item, Craft Magic Arms and Armor, crafter must be proficient with a longbow or shortbow; Cost 2,500 gp
Bracers of Armor	moderate conjuration	7th	wrists	1,000 gp (+1), 4,000 gp (+2), 9,000 gp (+3), 16,000 gp (+4), 25,000 gp (+5), 36,000 gp (+6), 49,000 gp (+7), 64,000 gp (+8)	1 lb	These items appear to be wrist or arm guards. They surround the wearer with an invisible but tangible field of force, granting him an armor bonus of +1 to +8, just as though he were wearing armor. Both bracers must be worn for the magic to be effective.  Alternatively, bracers of armor can be enchanted with armor special abilities. See Table: Armor Special Qualities for a list of abilities. Special abilities usually count as additional bonuses for determining the market value of an item, but do not improve AC. Bracers of armor cannot have a modified bonus (armor bonus plus armor special ability bonus equivalents) higher than +8. Bracers of armor must have at least a +1 armor bonus to grant an armor special ability. Bracers of armor cannot have any armor special abilities that add a flat gp amount to their cost. Bracers of armor and ordinary armor do not stack. If a creature receives a larger armor bonus from another source, the bracers of armor cease functioning and do not grant their armor bonus or their armor special abilities. If the bracers of armor grant a larger armor bonus, the other source of armor ceases functioning	Craft Wondrous Item, mage armor, creator's caster level must be at least two times that of the bonus placed in the bracers, plus any requirements of the armor special abilities; Cost 500 gp (+1), 2,000 gp (+2), 4,500 gp (+3), 8,000 gp (+4), 12,500 gp (+5), 18,000 gp (+6), 24,500 gp (+7), 32,000 gp (+8)
Brooch of Shielding	faint abjuration	1st	neck	1,500 gp	-	This appears to be a piece of silver or gold jewelry used to fasten a cloak or cape. In addition to this mundane task, it can absorb magic missiles of the sort generated by the spell or spell-like ability. A brooch can absorb up to 101 points of damage frommagic missiles before it melts and becomes useless	Craft Wondrous Item, shield; Cost 750 gp
Broom of Flying	moderate transmutation	9th	-	17,000 gp	3 lbs	This broom is able to fly through the air as if affected by an overland flight spell (+4 on Fly skill checks) for up to 9 hours per day (split up as its owner desires). The broom can carry 200 pounds and fly at a speed of 40 feet, or up to 400 pounds at a speed at 30 feet. In addition, the broom can travel alone to any destination named by the owner as long as she has a good idea of the location and layout of that destination. It flies to its owner from as far away as 300 yards when she speaks the command word. The broom of flying has a speed of 40 feet when it has no rider	Craft Wondrous Item, overland flight, permanency; Cost 8,500 gp
Candle of Invocation	strong conjuration	17th	-	8,400 gp	1/2 lb	Each of these special tapers is dedicated to one of the nine alignments. Simply burning the candle generates a favorable aura for the individual if the candle's alignment matches that of the character. Characters of the same alignment as the burning candle add a +2 morale bonus on attack rolls, saving throws, and skill checks while within 30 feet of the flame.  A cleric whose alignment matches the candle's operates as if two levels higher for purposes of determining spells per day if he burns the candle during or just prior to his spell preparation time. He can even cast spells normally unavailable to him as if he were of that higher level, but only so long as the candle continues to burn. Except in special cases (see below), a candle burns for 4 hours. It is possible to extinguish the candle simply by blowing it out, so users often place it in a lantern to protect it from drafts and the like. Doing this doesn't interfere with its magical properties.  In addition, burning a candle also allows the owner to cast a gate spell, the respondent being of the same alignment as the candle, but the taper is immediately consumed in the process	Craft Wondrous Item, gate, creator must be same alignment as candle created; Cost 4,200 gp
Candle of Truth	faint enchantment	3rd	-	2,500 gp	1/2 lb	This white tallow candle, when burned, calls into place a zone of truth spell (Will DC 13 negates) in a 5-foot radius centered on the candle. The zone lasts for 1 hour, while the candle burns. If the candle is snuffed before that time, the effect is canceled and the candle ruined	Craft Wondrous Item, zone of truth; Cost 1,250 gp
Cape of the Mountebank	moderate conjuration	9th	shoulders	10,800 gp	1 lb	On command, this bright red and gold cape allows the wearer to use the magic of the dimension door spell once per day. When he disappears, he leaves behind a cloud of smoke, appearing in a similar fashion at his destination	Craft Wondrous Item, dimension door; Cost 5,400 gp
Carpet of Flying	moderate transmutation	10th	-	-	-	This rug is able to fly through the air as if affected by an overland flight spell of unlimited duration. The size, carrying capacity, and speed of the different carpets of flying are shown on the table below. Beautifully and intricately made, each carpet has its own command word to activate it—if the device is within voice range, the command word activates it, whether the speaker is on the rug or not. The carpet is then controlled by spoken directions.  Size        Capacity        Speed        Weight        Market Price 5 ft. by 5 ft.        200 lbs.        40 ft.        8 lbs.        20,000 gp 5 ft. by 10 ft.        400 lbs.        40 ft.        10 lbs.        35,000 gp 10 ft. by 10 ft.        800 lbs.        40 ft.        15 lbs.        60,000 gp A carpet of flying can carry up to double its capacity, but doing so reduces its speed to 30 feet. A carpet of flying can hover without making a Fly skill check and gives a +5 bonus to other Fly checks.	Craft Wondrous Item, overland flight; Cost 10,000 gp (5 ft. by 5 ft.), 17,500 gp (5 ft. by 10 ft.), 30,000 gp (10 ft. by 10 ft.)
Chime of Interruption	moderate evocation	7th	-	16,800 gp	1 lb	This instrument can be struck once every 10 minutes, and its resonant tone lasts for 3 full minutes.  While the chime is resonating, no spell requiring a verbal component can be cast within a 30-foot radius of it unless the caster can make a concentration check (DC 15 + the spell's level).	Craft Wondrous Item, shout; Cost 8,400 gp
Chime of Opening	moderate transmutation	11th	-	3,000 gp	1 lb	A chime of opening is a hollow mithral tube about 1 foot long. When struck, it sends forth magical vibrations that cause locks, lids, doors, valves, and portals to open. The device functions against normal bars, shackles, chains, bolts, and so on. A chime of opening also automatically dispels a hold portal spell or even an arcane lock cast by a wizard of lower than 15th level.  The chime must be pointed at the item or gate to be loosed or opened (which must be visible and known to the user). The chime is then struck and a clear tone rings forth. The wielder can make a caster level check against the lock or binding, using the chime's caster level of 11th. The DC of this check is equal to the Disable Device DC to open the lock or binding. Each sounding only opens one form of locking, so if a chest is chained, padlocked, locked, and arcane locked, it takes four successful uses of a chime of opening to get it open. A silence spell negates the power of the device. A brand-new chime can be used a total of 10 times before it cracks and becomes useless.	Craft Wondrous Item, knock; Cost 1,500 gp
Circlet of Persuasion	faint transmutation	5th	head	4,500 gp	-	This silver headband grants a +3 competence bonus on the wearer's Charisma-based checks.	Craft Wondrous Item, eagle's splendor; Cost 2,250 gp
Cloak of Arachnida	moderate conjuration and transmutation	6th	shoulders	14,000 gp	1 lb	This black garment, embroidered with a web-like pattern in silk, gives the wearer the ability to climb as if a spider climb spell had been placed upon her. In addition, the cloak grants her immunity to entrapment by web spells or webs of any sort; she can actually move in webs at half her normal speed. Once per day, the wearer of this cloak can cast web. She also gains a +2 luck bonus on all Fortitude saves against poison from spiders.	Craft Wondrous Item, spider climb, web; Cost 7,000 gp
Cloak of the Bat	moderate transmutation	7th	shoulders	26,000 gp	1 lb	Fashioned of dark brown or black cloth, this cloak bestows a +5 competence bonus on Stealth checks. The wearer is also able to hang upside down from the ceiling like a bat.  By holding the edges of the garment, the wearer is able to fly as per the spell (including a +7 bonus on Fly skill checks). If he desires, the wearer can actually polymorph himself into an ordinary bat and fly accordingly (as beast shape III). All possessions worn or carried are part of the transformation. Flying, either with the cloak or in bat form, can be accomplished only in darkness (either under the night sky or in a lightless or near-lightless environment underground). Either of the flying powers is usable for up to 7 minutes at a time, but after a flight of any duration the cloak cannot bestow any flying power for a like period of time	Craft Wondrous Item, beast shape III, fly; Cost 13,000 gp
Cloak of Displacement, Major	moderate illusion	7th	shoulders	50,000 gp	1 lb	This item appears to be a normal cloak, but on command its magical properties distort and warp light waves. This displacement works just like the displacement spell and lasts for a total of 15 rounds per day, which the wearer can divide up as she sees fit	Craft Wondrous Item, Extend Spell, displacement; Cost 25,000 gp
Cloak of Displacement, Minor	faint illusion	3rd	shoulders	24,000 gp	1 lb	This item appears to be a normal cloak, but when worn by a character, its magical properties distort and warp light waves. This displacement works similar to the blur spell, granting a 20% miss chance on attacks against the wearer. It functions continually	Craft Wondrous Item, blur; Cost 12,000 gp
Cloak of Elvenkind	faint illusion	3rd	shoulders	2,500 gp	1 lb	When this plain gray cloak is worn with the hood drawn up around the head, the wearer gains a +5 competence bonus on Stealth checks.	Craft Wondrous Item, invisibility, creator must be an elf; Cost 1,250 gp
Cloak of Etherealness	strong transmutation	15th	shoulders	55,000 gp	1 lb	This silvery gray cloak seems to absorb light rather than be illuminated by it. On command, the cloak makes its wearer ethereal (as the ethereal jaunt spell). The effect is dismissible. The cloak works for a total of up to 10 minutes per day. This duration need not be continuous, but it must be used in 1 minute increments	Craft Wondrous Item, ethereal jaunt; Cost 27,500 gp
Cloak of the Manta Ray	moderate transmutation	9th	shoulders	7,200 gp	1 lb	This cloak appears to be made of leather until the wearer enters salt water. At that time, the cloak of the manta ray adheres to the individual, and he appears nearly identical to a manta ray (as the beast shape II spell, except that it allows only manta ray form). He gains a +3 natural armor bonus, the ability to breathe underwater, and a swim speed of 60 feet, like a real manta ray.  The cloak does allow the wearer to attack with a manta ray's tail spine, dealing 1d6 points of damage. This attack can be used in addition to any other attack the character has, using his highest melee attack bonus. The wearer can release his arms from the cloak without sacrificing underwater movement if so desired	Craft Wondrous Item, beast shape II, water breathing; Cost 3,600 gp
Cloak of Resistance	faint abjuration	5th	shoulders	1,000 gp (+1), 4,000 gp (+2), 9,000 gp (+3), 16,000 gp (+4), 25,000 gp (+5)	1 lb	These garments offer magic protection in the form of a +1 to +5 resistance bonus on all saving throws (Fortitude, Reflex, and Will)	Craft Wondrous Item, resistance, creator's caster level must be at least three times the cloak's bonus; Cost 500 gp (+1), 2,000 gp (+2), 4,500 gp (+3), 8,000 gp (+4), 12,500 gp (+5)
Crown of Blasting, Minor	moderate evocation	6th	head	6,480 gp	1 lb	On command, this simple golden crown projects a blast of searing light (3d8 points of damage) once per day	Craft Wondrous Item, searing light; Cost 3,240 gp
Crown of Blasting, Major	strong evocation	17th	head	23,760 gp	1 lb	On command, this elaborate golden crown projects a blast of searing light (5d8 maximized for 40 points of damage) once per day.	Craft Wondrous Item, Maximize Spell, searing light; Cost 11,880 gp
Cystal ball	moderate divination	10th	-	-	7 lbs	This is the most common form of scrying device, a crystal sphere about 6 inches in diameter. So well-known are these items that many so-called oracles or fortune-tellers use similar appearing (but completely non-magical) replicas of these items to ply their trades. A character can use a magical crystal ball to see over virtually any distance or into other planes of existence, as with the spell scrying (Will DC 16 negates). A crystal ball can be used multiple times per day, but the DC to resist its power decreases by 1 for each additional use.  Certain crystal balls have additional powers that can be used through the crystal ball on the target viewed.  Crystal Ball Type        Market Price Crystal ball        42,000 gp Crystal ball with see invisibility        50,000 gp Crystal ball with telepathy*        70,000 gp Crystal ball with true seeing        80,000 gp Crystal ball with detect thoughts (Will DC 13 negates)        51,000 gp * The viewer is able to send and receive silent mental messages with the person appearing in the crystal ball. Once per day, the character may attempt to implant a suggestion (as the spell, Will DC 14 negates) as well. 	Craft Wondrous Item, scrying (plus any additional spells put into item); Cost 21,000 gp (standard), 25,000 (with see invisibility), 25,500 gp (with detect thoughts), 35,000 gp (with telepathy), 40,000 gp (with true seeing)
Cube of Force	moderate evocation	10th	-	62,000 gp	1/2 lb	This device is just under an inch across and can be made of ivory, bone, or any hard mineral. Typically, each of the cube's faces are polished smooth, but sometimes they are etched with runes. The device enables its possessor to put up a special cube made up of 6 individual wall of force spells, 10 feet on a side around her person. This cubic screen moves with the character and is impervious to the attack forms mentioned on the table below. The cube has 36 charges when fully charged—charges used are automatically renewed each day. The possessor presses one face of the cube to activate a particular type of screen or to deactivate the device. Each effect costs a certain number of charges to maintain for every minute (or portion of a minute) it is in operation. Also, when an effect is active, the possessor's speed is limited to the maximum value given on the table.  When the cube of force is active, attacks dealing more than 30 points of damage drain 1 charge for every 10 points of damage beyond 30 that they deal. The charge cost to maintain each of the cube's six walls is summarized below.  Cube Face        Charge Cost per Minute        Max. Speed        Effect 1        1        30 ft.        Keeps out gases, wind, etc. 2        2        20 ft.        Keeps out nonliving matter 3        3        15 ft.        Keeps out living matter 4        4        10 ft.        Keeps out magic 5        6        10 ft.        Keeps out all things 6        0        As normal        Deactivates Spells that affect the integrity of the screen also drain extra charges. These spells cannot be cast into or out of the cube.  Attack Form        Extra Charges Disintegrate         6 Horn of blasting        6 Passwall        3 Phase door        5 Prismatic spray        7 Wall of fire        2 	Craft Wondrous Item, wall of force; Cost 31,000 gp
Cube of Frost Resistance	faint abjuration	5th	-	27,000 gp	2 lbs	This cube is activated or deactivated by pressing one side. When activated, it creates a cube-shaped area 10 feet on a side centered on the possessor (or on the cube itself, if the item is later placed on a surface). The temperature within this area is always at least 65° F. The field absorbs all cold-based attacks. However, if the field is subjected to more than 50 points of cold damage in 1 round (from one or multiple attacks), it collapses and cannot be reactivated for 1 hour. If the field absorbs more than 100 points of cold damage in a 10-round period, the cube is destroyed.	Craft Wondrous Item, protection from energy; Cost 13,500 gp
Cubic Gate	strong conjuration	13th	-	164,000 gp	2 lbs	This potent magical item is a small cube fashioned from carnelian. Each of the six sides of the cube is keyed to a different plane of existence or dimension, one of which is the Material Plane. The character creating the item chooses the planes to which the other five sides are keyed.  If a side of the cubic gate is pressed once, it opens a gate to a random point on the plane keyed to that side. There is a 10% chance per minute that an outsider from that plane (determine randomly) comes through it looking for food, fun, or trouble. Pressing the side a second time closes the gate. It is impossible to open more than one gate at a time.  If a side is pressed twice in quick succession, the character so doing is transported to a random point on the other plane, along with all creatures in adjacent squares. The other creatures may avoid this fate by succeeding on DC 23 Will saves.	Craft Wondrous Item, plane shift; Cost 82,000 gp
Darkskull	moderate evocation [evil]	9th	-	60,000 gp	5 lbs	This skull, carved from ebony, is wholly evil. Wherever the skull goes, the area around it is treated as though an unhallow spell had been cast with the skull as the touched point of origin. Each darkskull has a single spell effect tied to it. This spell is from the standard list given in the unhallow spell description, and it cannot be changed.	Craft Wondrous Item, unhallow, creator must be evil; Cost 30,000 gp
Decanter of Endless Water	moderate transmutation	9th	-	9,000 gp	2 lbs	If the stopper is removed from this ordinary-looking flask and a command word spoken, an amount of fresh or salt water pours out. Separate command words determine the type of water as well as the volume and velocity.  “Stream” pours out 1 gallon per round. “Fountain” produces a 5-foot-long stream at 5 gallons per round. “Geyser” produces a 20-foot-long, 1-foot-wide stream at 30 gallons per round. The geyser effect exerts considerable pressure, requiring the holder to make a DC 12 Strength check to avoid being knocked down each round the effect is maintained. In addition, the powerful force of the geyser deals 1d4 points of damage per round to a creature that is subjected to it. The geyser can only affect one target per round, but the user can direct the beam of water without needing to make an attack role to strike the target since the geyser's constant flow allows for ample opportunity to aim. Creatures with the fire subtype take 2d4 points of damage per round from the geyser rather than 1d4. The command word must be spoken to stop it.	Craft Wondrous Item, control water; Cost 4,500 gp
